朱棣,1360年5月2日,1424年8月12日
朱高炽,1378年8月16日,1425年5月29日
朱瞻,1398年3月16日,1435年1月31日
朱祁镇,1427年11月29日,1464年2月23日
朱见深,1447年12月9日,1487年9月9日
朱祐樘,1470年7月30日,1505年6月8日
朱祐杬,1476年7月22日,1519年7月13日
朱厚照,1491年10月27日,1521年4月20日
朱厚熜,1507年09月16日,1567年01月23日
朱载垕,1537年3月4日,1572年7月5日
朱翊钧,1563年09月04日,1620年08月18日
朱常洛,1582年8月28日,1620年9月26日
朱由校,1605年12月23日,1627年9月19日
朱由检,1611年02月06日,1644年04月25日
福临,1638年3月15日,1661年2月5日
玄烨,1654年5月4日,1722年12月20日
胤禛,1678年12月13日,1735年10月8日
弘历,1711年9月25日,1799年2月7日
颙琰,1760年11月13日,1820年9月2日
旻宁,1782年9月16日,1850年2月25日
奕詝,1831年7月17日,1861年8月22日
载淳,1856年4月27日,1875年1月12日
载湉,1871年8月14日,1908年11月14日
溥仪,1906年2月7日,1967年10月17日
